doc_id;field;gold_value;verdict;note;hangi_dagitimda
albaraka--2026-kahve-keyfiniz-albarakadan;kampanya_suresi;2026-06-30;Fix;;(hiçbiri)
albaraka--detay-dijital-katilma-hesabina-ozel-paylasim-oranlari-10;campaign_type;Katılma hesabı;Fix;;(hiçbiri)
albaraka--detay-dijital-katilma-hesabina-ozel-paylasim-oranlari-10;kampanya_suresi;2026-12-31;Fix;;(hiçbiri)
albaraka--detay-dijital-musterilere-ozel-pratik-finansman-kart;campaign_type;Kart kampanyası;Fix;Metinde pratik kart kampanyasından açıkça bahsedilmektedir model konut finansmanıyla karıştırmıştır;round1_A.csv | round1_A_Etiketli.csv | round1_B.csv | round2_zor_vaka.csv
albaraka--detay-dijital-musterilere-ozel-pratik-finansman-kart;finansman_tutari;"{""currency"": ""TRY"", ""value"": 150000.0}⁠";Fix;Metinde azami finansman tutarı 150.000 TL olarak belirtilmiştir model asgari olan  250 TL ile karıştırmıştır.;round1_A.csv | round1_A_Etiketli.csv | round1_B.csv | round2_zor_vaka.csv
albaraka--detay-dijital-musterilere-ozel-pratik-finansman-kart;taksit_sayisi;36;Fix;Metinde ortalama yapılacak taksit sayısı 36 ay olarak belirtilmiştir;round1_A.csv | round1_A_Etiketli.csv | round1_B.csv | round2_zor_vaka.csv
albaraka--detay-dijital-musterilere-ozel-pratik-finansman-kart;kampanya_suresi;2026-12-31;Fix;;round1_A.csv | round1_A_Etiketli.csv | round1_B.csv | round2_zor_vaka.csv
albaraka--finansman-hesaplama-ihtiyac-finansmani-hesaplama;campaign_type;İhtiyaç finansmanı;Fix;;(hiçbiri)
albaraka--finansman-hesaplama-ihtiyac-finansmani-hesaplama;finansman_tutari;"{""currency"": ""TRY"", ""value"": 11368.42}";Ok;;(hiçbiri)
albaraka--finansmanlar-kobi-gayri-nakdi-finansman;campaign_type;Finansman;Ok;;round2_zor_vaka.csv
albaraka--gayrimenkul-finansmani-2b-arazi-finansmani;campaign_type;Finansman;Ok;;round1_v2_A.csv | round1_v2_B.csv | round1_v2_C.csv | round1_v2_D.csv
albaraka--ihtiyac-diger-ihtiyaclariniz-icin;campaign_type;İhtiyaç Finansmanı;Ok;;(hiçbiri)
albaraka--ihtiyac-egitim-finansmani;campaign_type;Eğitim finansmanı;Fix;;(hiçbiri)
albaraka--ihtiyac-hac-ve-umre-finansmani;campaign_type;İhtiyaç finansmanı;Fix;Metin hac umre hakkındadır ihtiyaç finansmanına girer model yanılmıştır;(hiçbiri)
