doc_id;bank;field;model_value;model_conf;confidence_source;disagreement;snippet;gold_value;verdict;note
adil-katilim--katilim-bankaciligi-katilim-bankaciligi-nedir;adil-katilim;campaign_type;Yatırım Ürünü;0.70;classifier;;Anasayfa > Katılım Bankacılığı > Katılım Bankacılığı Nedir? Katılım Bankacılığı Nedir? Katılım bankacılığı, fon toplama ve finansman kullandırma başta olmak üzere bankacılık faaliyetlerinin katılım finans esaslarına uygu …;;;
albaraka--detay-albaraka-konaklama-harcamaniza-5-indirim-kazandiriyor;albaraka;campaign_type;Kart;0.80;classifier;;Albaraka Mobil Mobil Bankacılık Aç Albaraka Konaklama Harcamanıza %5 İndirim Kazandırıyor! Anasayfa Kampanyalar Detay 'Albaraka Konaklama Harcamanıza %5 İndirim Kazandırıyor!' kampanyasına katılım sağlayarak, kartınızla …;;;
albaraka--detay-albaraka-konaklama-harcamaniza-5-indirim-kazandiriyor;albaraka;finansman_tutari;"{""currency"": ""TRY"", ""value"": 10000.0}";0.72;rule_heuristic;;…Mobil'den katılım sağlamanız gerekmektedir. Kampanyadan yararlanılabilmesi için konaklama harcama tutarının tek seferde [10.000 TL] üzeri olması gerekmektedir. Bir müşterinin kazanabileceği maksimum indirim tutarı 1.000 TL' dir. Kampanya Dijital Portf…;;;
albaraka--detay-albaraka-konaklama-harcamaniza-5-indirim-kazandiriyor;albaraka;kampanya_suresi;2026-01-31;0.85;rule_heuristic;;…dan önce yapılan işlemler kampanya kapsamında değerlendirilmeyecektir. Kampanya Başlangıç ve Bitiş Tarihi: Kampanya 1 – [31 Ocak 2026] tarihlerinde geçerlidir. Kampanyadan Kimler Faydalanabilir: 1 – 31 Ocak 2026 tarihleri arasında Albaraka Mobil'den kamp…;;;
albaraka--detay-albarakalilara-ozel-ucretsiz-ispark-kampanyasi-1;albaraka;campaign_type;Taşıt Finansmanı;0.70;classifier;;Albaraka Mobil Mobil Bankacılık Aç Ücretsiz İSPARK Otopark Kampanyası | Albarakalılara Özel Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş 01.01.2026 - 31.12.2026 Albaraka Mobil Albaraka Mobil Ücretsiz İSPARK Otopark k …;;;
albaraka--detay-albarakalilara-ozel-ucretsiz-ispark-kampanyasi-1;albaraka;kampanya_suresi;2026-01-01;0.72;rule_heuristic;;…Bankacılık Aç Ücretsiz İSPARK Otopark Kampanyası | Albarakalılara Özel Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş [01.01.2026] - 31.12.2026 Albaraka Mobil Albaraka Mobil Ücretsiz İSPARK Otopark kampanyası ile Albaraka Türk, hayatınızı kolaylaştır…;;;
albaraka--detay-istanbul-havalimani-hizli-gecis-kampanyasi;albaraka;campaign_type;Konut Finansmanı;0.60;classifier;;Albaraka Mobil Mobil Bankacılık Aç İstanbul Havalimanı - Hızlı Geçiş Kampanyası Anasayfa Kampanyalar Detay Seyahatlerinizde konforu ve ayrıcalığı bir arada yaşayın! İstanbul Havalimanı'nda hızlı geçiş ayrıcalığı ile yolc …;;;
dunya-katilim--kampanyalar-damat-tween;dunya-katilim;campaign_type;Konut Finansmanı;0.60;classifier;;Anasayfa Kampanyalar damat tween Paraf İle Damat Tween'de 6 Taksit Fırsatı! Dünya Katılım Paraf ile Paraf POS'larından yapılacak alışverişlerde 6 aya varan taksit imkanı sunulacaktır. Mağazalardan yapılacak alışverişlerd …;;;
dunya-katilim--kampanyalar-damat-tween;dunya-katilim;taksit_sayisi;6;0.85;rule_heuristic;;Anasayfa Kampanyalar damat tween Paraf İle Damat Tween'de [6 Taksit] Fırsatı! Dünya Katılım Paraf ile Paraf POS'larından yapılacak alışverişlerde 6 aya varan taksit imkanı sunulacaktır. Ma…;;;
dunya-katilim--kampanyalar-damat-tween;dunya-katilim;kampanya_suresi;2026-07-31;0.82;rule_heuristic;;…mamında değişiklik yapma ve/veya kampanyayı durdurma hakkını saklı tutar. Paraf Kampanyaları Devam ediyor Bitiş Tarihi: [31 Temmuz 2026] Paylaş Diğer Kampanyalar Tüm site ziyaretçilerimizi daha iyi tanımak, sitemizdeki kullanıcı deneyimini kişiselleştirmek…;;;
