doc_id;bank;field;model_value;model_conf;confidence_source;disagreement;snippet;gold_value;verdict;note
albaraka--detay-albaraka-konaklama-harcamaniza-5-indirim-kazandiriyor;albaraka;campaign_type;Kart;0.70;classifier;;Albaraka Mobil Mobil Bankacılık Aç Albaraka Konaklama Harcamanıza %5 İndirim Kazandırıyor! Anasayfa Kampanyalar Detay 'Albaraka Konaklama Harcamanıza %5 İndirim Kazandırıyor!' kampanyasına katılım sağlayarak, kartınızla …;;;
albaraka--detay-albaraka-konaklama-harcamaniza-5-indirim-kazandiriyor;albaraka;finansman_tutari;"{""currency"": ""TRY"", ""value"": 10000.0}";0.72;rule_heuristic;;…Mobil'den katılım sağlamanız gerekmektedir. Kampanyadan yararlanılabilmesi için konaklama harcama tutarının tek seferde [10.000 TL] üzeri olması gerekmektedir. Bir müşterinin kazanabileceği maksimum indirim tutarı 1.000 TL' dir. Kampanya Dijital Portf…;;;
albaraka--detay-albaraka-konaklama-harcamaniza-5-indirim-kazandiriyor;albaraka;kampanya_suresi;2026-01-31;0.85;rule_heuristic;;…dan önce yapılan işlemler kampanya kapsamında değerlendirilmeyecektir. Kampanya Başlangıç ve Bitiş Tarihi: Kampanya 1 – [31 Ocak 2026] tarihlerinde geçerlidir. Kampanyadan Kimler Faydalanabilir: 1 – 31 Ocak 2026 tarihleri arasında Albaraka Mobil'den kamp…;;;
albaraka--detay-albaraka-restoran-harcamaniza-5-indirimm-kazandiriyor;albaraka;campaign_type;Kart;0.70;classifier;;Albaraka Mobil Mobil Bankacılık Aç Albaraka Restoran Harcamanıza %10 İndirim Kazandırıyor! Anasayfa Kampanyalar Detay Dijital Portföy Yönetimi müşterilerine özel kredi kartları ile yapacağı restoran harcamalarına %10'una …;;;
albaraka--detay-albaraka-restoran-harcamaniza-5-indirimm-kazandiriyor;albaraka;kampanya_suresi;2026-07-31;0.85;rule_heuristic;;… harcamalarının %10'una kadar toplamda 2.000 TL'ye varan iade kazanın. Kampanya Başlangıç ve Bitiş Tarihi: Kampanya 1 – [31 Temmuz 2026] tarihlerinde geçerlidir. Kmpanyadan Kimler Faydalanabilir: 1 – 31 Temmuz 2026 tarihleri arasında Albaraka Mobil'den kam…;;;
albaraka--detay-albarakadan-ucuran-kampanya;albaraka;campaign_type;Kart;0.70;classifier;;Albaraka Mobil Mobil Bankacılık Aç Albaraka'dan Uçuran Kampanya! Anasayfa Kampanyalar Detay Dijital Portföy Yönetimi müşterilerine özel kredi kartları ile yapacağı havayolu harcamalarında %10'u kadar, 2.000 TL' ye varan …;;;
albaraka--detay-albarakadan-ucuran-kampanya;albaraka;kampanya_suresi;2026-07-31;0.85;rule_heuristic;;…ması yapın, Harcamanızın %10'u kadar, 2.000 TL' ye varan iade kazanın. Kampanya Başlangıç ve Bitiş Tarihi: Kampanya 1 – [31 Temmuz 2026] tarihlerinde geçerlidir. Kampanyadan Kimler Faydalanabilir: 1 – 31 Temmuz 2026 tarihleri arasında Albaraka Mobil'den ka…;;;
albaraka--detay-albarakalilara-ozel-ucretsiz-ispark-kampanyasi-1;albaraka;campaign_type;Taşıt Finansmanı;0.70;classifier;;Albaraka Mobil Mobil Bankacılık Aç Ücretsiz İSPARK Otopark Kampanyası | Albarakalılara Özel Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş 01.01.2026 - 31.12.2026 Albaraka Mobil Albaraka Mobil Ücretsiz İSPARK Otopark k …;;;
albaraka--detay-albarakalilara-ozel-ucretsiz-ispark-kampanyasi-1;albaraka;kampanya_suresi;2026-01-01;0.72;rule_heuristic;;…Bankacılık Aç Ücretsiz İSPARK Otopark Kampanyası | Albarakalılara Özel Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş [01.01.2026] - 31.12.2026 Albaraka Mobil Albaraka Mobil Ücretsiz İSPARK Otopark kampanyası ile Albaraka Türk, hayatınızı kolaylaştır…;;;
albaraka--dis-ticaret-finansmanlari-ihracat-finansmani;albaraka;campaign_type;Finansman;0.70;classifier;;Albaraka Mobil Mobil Bankacılık Aç İhracat Finansmanı Anasayfa KOBİ Dış Ticaret Dış Ticaret Finansmanları İhracat Finansmanı Vadeli İhracat Finansmanı Eximbank Sevk Öncesi İhracat Kredisi Eximbank Temlik Teyidi Katılım B …;;;
albaraka--finansman-hesaplama-tasit-finansmani-hesaplama;albaraka;campaign_type;Konut Finansmanı;0.70;classifier;;Albaraka Mobil Mobil Bankacılık Aç Taşıt Finansmanı Hesaplama Anasayfa Hesaplama Araçları Finansman Hesaplama Taşıt Finansmanı Hesaplama Konut Finansmanı Hesaplama Taşıt Finansmanı Hesaplama İhtiyaç Finansmanı Hesaplama …;;;
albaraka--finansman-hesaplama-tasit-finansmani-hesaplama;albaraka;finansman_tutari;"{""currency"": ""TRY"", ""value"": 10297.47}";0.85;rule_heuristic;;…FİNANSMANI 2. VE SONRAKİ KONUT FİNANSMANI Finansman Tutarı Vade Kâr Oranı % Oranı kendim gireceğim. Aylık Taksit Tutarı [10.297,47 TL] Geri Ödenecek Toplam Tutar 236.841,93 TL Yıllık Maliyet Oranı % 64,5 Ücretler Toplamı 862,50 Ödeme Planı Hemen Başvur Ö…;;;
albaraka--finansmanlar-kredi-notu-ogrenme;albaraka;campaign_type;Konut Finansmanı;0.80;classifier;;Albaraka Mobil Mobil Bankacılık Aç Findeks Kredi Notu Öğrenme Anasayfa Bireysel Finansmanlar Findeks Kredi Notu Öğrenme Konut Finansmanı Taşıt Finansmanı Gayrimenkul Finansmanı Bayide Finansman İhtiyaç Finansmanı BES Tem …;;;
albaraka--kredi-kartlari-world-klasik-kart;albaraka;campaign_type;Kart;0.80;classifier;;Albaraka Mobil Mobil Bankacılık Aç World Klasik Kart Anasayfa Bireysel Kartlar Kredi Kartları World Klasik Kart World Platinum Kart World Gold Kart World Klasik Kart Troy Kredi Kartı Trend Kredi Kartı Eflatun Kredi Kartı …;;;
albaraka--kredi-kartlari-world-klasik-kart;albaraka;finansman_tutari;"{""currency"": ""TRY"", ""value"": 2500.0}";0.85;rule_heuristic;;…anabilirsiniz. World Klasik Kart temassız özellikli olup, temassız özellikli POS cihazları üzerinden kredi kartınız ile [2.500 TL] ve altındaki harcamalarınızı temassız özellik sayesinde şifre tuşlamaya gerek duymadan hızlı ve güvenli bir şekilde ger…;;;
albaraka--kredi-kartlari-world-klasik-kart;albaraka;odul_miktari;"{""currency"": ""TRY"", ""value"": 2500.0}";0.82;rule_heuristic;;…arınızı temassız özellik sayesinde şifre tuşlamaya gerek duymadan hızlı ve güvenli bir şekilde gerçekleştirebilirsiniz. [2.500 TL] ve üstü harcamalarınızda şifre tuşlamanız gerekmektedir. Temassız özellikle peş peşe yaptığınız işlemler 99 adete ulaşt…;;;
albaraka--tr-kampanyalar;albaraka;campaign_type;Yeni Müşteri;0.60;classifier;;Albaraka Mobil Mobil Bankacılık Aç Kampanyalar Tümü Dijital Eflatun Trend Özel Bankacılık Bireysel Business World Kampanyaları Geçmiş Kampanyalar Tüm Kampanyalar Tüm Kampanyalar Tüm Kampanyalar Dijital Eflatun Trend Özel …;;;
albaraka--tr-kampanyalar;albaraka;taksit_sayisi;3;0.85;rule_heuristic;;…arak kârlı birikime siz de adım atın. Son gün 31 Aralık Paylaş Facebook Twitter Linkedin MTV Ödemelerinize Vade Farksız [3 Taksit]! MTV ödemelerinize vade farksız 3 taksit fırsatını kaçırmayın! Son 1 gün Paylaş Facebook Twitter Linkedin Sağlık Harcam…;;;
dunya-katilim--kampanyalar-pazarama-paraf;dunya-katilim;campaign_type;İhtiyaç Finansmanı;0.60;classifier;;Anasayfa Kampanyalar Pazarama Paraf Pazarama'da Peşin Fiyatına 6 Taksit Fırsatı! Dünya Katılım Paraf ile pazarama.com ve mobil uygulamasından tek seferde yapılacak alışverişlerde peşin fiyatına 6 aya varan taksit imkanı …;;;
dunya-katilim--kampanyalar-pazarama-paraf;dunya-katilim;taksit_sayisi;6;0.85;rule_heuristic;;Anasayfa Kampanyalar Pazarama Paraf Pazarama'da Peşin Fiyatına [6 Taksit] Fırsatı! Dünya Katılım Paraf ile pazarama.com ve mobil uygulamasından tek seferde yapılacak alışverişlerde peşin fiyatı…;;;
dunya-katilim--kampanyalar-pazarama-paraf;dunya-katilim;kampanya_suresi;2026-07-31;0.82;rule_heuristic;;…mamında değişiklik yapma ve/veya kampanyayı durdurma hakkını saklı tutar. Paraf Kampanyaları Devam ediyor Bitiş Tarihi: [31 Temmuz 2026] Paylaş Diğer Kampanyalar Tüm site ziyaretçilerimizi daha iyi tanımak, sitemizdeki kullanıcı deneyimini kişiselleştirmek…;;;
hayat-finans--hesaplar-avantajli-hesap;hayat-finans;campaign_type;Yatırım Ürünü;0.70;classifier;;Birikimin Büyüsün, Avantajın Bitmesin! Finansal gücünüzü artırmanın etkili yolu: Avantajlı Hesap ile birikim yaparken avantajlarınız hiç bitmesin. Hayat Finans Avantajlı Hesap Avantajlı Hesap ile birikiminizin büyüklüğün …;;;
hayat-finans--hesaplar-avantajli-hesap;hayat-finans;finansman_tutari;"{""currency"": ""TRY"", ""value"": 50000.0}";0.85;rule_heuristic;;…Avantajlı Katılma Hesabı açabilir. Hesap açılışı için minimum ve maksimum tutar nedir? Hesap açılışı için minimum tutar [50.000 TL], maksimum tutar ise 2.000.000 TL'dir. Üst limiti aşmayacak şekilde dilediğiniz sayıda Avantajlı Katılma Hesap açılışı g…;;;
hayat-finans--hesaplar-avantajli-hesap;hayat-finans;odul_miktari;"{""currency"": ""TRY"", ""value"": 50000.0}";0.82;rule_heuristic;;…ıyla birden fazla avantajlı katılma hesabı açabilirsiniz. Avantajlı Hesaptan vade sürecinde para çekebilir miyim? Evet, [50.000 TL] üzerinden kalmak kaydıyla para çekimi yapılabilir. Vade sonunda hesabınızda kalan tutar üzerinden kâr dağıtımı yapılır.…;;;
hayat-finans--hesaplar-avantajli-hesap;hayat-finans;kampanya_suresi;2026-10-08;0.72;rule_heuristic;;…ranı* Gümüş Derecesi: %95 kâr paylaşım oranı* Bronz Derecesi: %90 kâr paylaşım oranı* * Fiyatlama kampanya bitiş tarihi [08.10.2026] olup, Hayat Finans kampanya süresi boyunca şartları değiştirme ve sonlandırma hakkını saklı tutar. Avantajlı Katılma He…;;;
hayat-finans--kampanyalar-hayatfx-ile-gumus-islemleri;hayat-finans;campaign_type;Yatırım Ürünü;0.60;classifier;;Gümüş İşlemleri Hayat FX'te! Gümüş İşlemlerinde Dar Makas Avantajı Hayat FX'de! Gümüş yatırımlarınızı daha avantajlı koşullarla gerçekleştirin. Hayat FX üzerinden yapacağınız gümüş alım ve satım işlemlerinde, dar makas u …;;;
hayat-finans--kampanyalar-hayatfx-ile-gumus-islemleri;hayat-finans;kampanya_suresi;2026-06-01;0.72;rule_heuristic;;…e işlemlerinizi daha rekabetçi fiyatlarla gerçekleştirebilir, yatırım fırsatlarını daha verimli değerlendirebilirsiniz. [1 Haziran 2026] – 31 Ağustos 2026 tarihleri arasında geçerli kampanya kapsamında, Hayat FX platformunda gümüş işlemi yapan bireysel müş…;;;
hayat-finans--kampanyalar-xiaomi-urunlerinde-finansman-avantaji;hayat-finans;campaign_type;Finansman;0.70;classifier;;Xiaomi Ürünlerinde Finansman Avantajı Hayat Finanslılara özel Xiaomi mağazalarında 3 aya varan taksit fırsatı Bana Bunu Al İş Ortağımda! Kampanya Koşulları Kampanya 31 Temmuz 2026 tarihine kadar geçerlidir. Kampanya sade …;;;
hayat-finans--kampanyalar-xiaomi-urunlerinde-finansman-avantaji;hayat-finans;vade_ay;3;0.55;rule_heuristic;;Xiaomi Ürünlerinde Finansman Avantajı Hayat Finanslılara özel Xiaomi mağazalarında [3 aya] varan taksit fırsatı Bana Bunu Al İş Ortağımda! Kampanya Koşulları Kampanya 31 Temmuz 2026 tarihine kadar geçerlidir. K…;;;
hayat-finans--sozlesme-ve-formlar;hayat-finans;campaign_type;İhtiyaç Finansmanı;0.70;classifier;;Sözleşme ve Formlar Sözleşmeler Bankacılık Hizmetleri Sözleşmesi Genel Kredi Sözleşmesi Bana Bunu AL Finansman (İhtiyaç Finansmanı) Sözleşmesi Formlar Bankacılık Hizmetleri Sözleşmesi Genel İşlem Şartlarına Ürün ve Hizme …;;;
