doc_id;bank;field;model_value;model_conf;confidence_source;disagreement;snippet;gold_value;verdict;note
albaraka--detay-dijital-musterilere-ozel-pratik-finansman-kart;albaraka;campaign_type;Konut Finansmanı;0.70;classifier;;Albaraka Mobil Mobil Bankacılık Aç Dijital Müşterilere Özel Pratik Finansman Kart Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş 01.01.2026 - 31.12.2026 Müşteri Ol Müşteri Ol Vade farksız 40.000 TL ve uygun oranlı hoş …;;;
albaraka--detay-dijital-musterilere-ozel-pratik-finansman-kart;albaraka;finansman_tutari;"{""currency"": ""TRY"", ""value"": 250.0}";0.82;rule_heuristic;;… kartınızla birçok ihtiyacınız için birden fazla finansman kullanımını yapabilirsiniz. Pratik Finansman Kart ile asgari [250 TL], azami 150.000 TL finansman kullanılabilmektedir. Pratik Finansman Kart başvurunuz onaylandıktan sonra, kartınızın kury…;;;
albaraka--detay-dijital-musterilere-ozel-pratik-finansman-kart;albaraka;taksit_sayisi;4;0.85;rule_heuristic;;"…ile Albaraka'lı olan dijital müşterilerimize özel; vade farksız, azami 40.000 TL limitli, 3 aya varan ödemesiz dönem ve [4 taksit] imkânı ile birlikte toplam 6 aya varan vade imkanıyla sunulan Pratik Finansman Kart (Karz-ı Hasen) başvurusunda bulunab…";;;
albaraka--detay-dijital-musterilere-ozel-pratik-finansman-kart;albaraka;kampanya_suresi;2026-01-01;0.72;rule_heuristic;;…bil Mobil Bankacılık Aç Dijital Müşterilere Özel Pratik Finansman Kart Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş [01.01.2026] - 31.12.2026 Müşteri Ol Müşteri Ol Vade farksız 40.000 TL ve uygun oranlı hoş geldin finansmanı Albaraka'da! Beyaz eşya…;;;
albaraka--dis-ticaret-finansmanlari-harici-garantiler;albaraka;campaign_type;Finansman;0.60;classifier;;Albaraka Mobil Mobil Bankacılık Aç Harici Garantiler Anasayfa KOBİ Dış Ticaret Dış Ticaret Finansmanları Harici Garantiler İthalat Finansmanı İhracat Finansmanı Harici Garantiler Dış Kaynak Temini Yurt dışı ticaretinizde …;;;
albaraka--eviniz-icin-prefabrik;albaraka;campaign_type;Konut Finansmanı;0.70;classifier;;Albaraka Mobil Mobil Bankacılık Aç Prefabrik Anasayfa Bireysel Finansmanlar İhtiyaç Finansmanı Eviniz İçin Prefabrik Konut Kirası Taşınma Ücreti ve Emlak Eşya Dekorasyon Bina Tamamlama Prefabrik Doğalgaz Dönüşüm Doğal En …;;;
albaraka--eviniz-icin-prefabrik;albaraka;vade_ay;24;0.85;rule_heuristic;;…varsa Albaraka sizinle. Özellikler Finansman tutarı 50.000 TL'ye kadar olan ödemelerinizi 36 aya, 50.000 TL üstünde ise [24 aya] kadar vadelendirebilir, geri ödemelerinizi aylık eşit taksitler hâlinde yapabilirsiniz.;;;
albaraka--formlar-altin-hesaplarindan-donusumun-desteklenmesi-tl-katilma-hesabi-bilgilendi;albaraka;campaign_type;Yatırım Ürünü;0.60;classifier;;ALTIN HESAPLARINDAN TÜRK LİRASI MEVDUAT VE KATILMA HESAPLARINA DÖNÜŞÜMÜN DESTEKLENMESİ HAKKINDA TEBLİĞ KAPSAMINDA KATILMA HESABI AÇILIŞINA İLİŞKİN BİLGİLENDİRME VE BEYAN FORMU Albaraka Türk Katılım Bankası A.Ş. İstanbul …;;;
albaraka--formlar-altin-hesaplarindan-donusumun-desteklenmesi-tl-katilma-hesabi-bilgilendi;albaraka;vade_ay;12;0.85;rule_heuristic;;"…onusu Katılma Hesabı'nın; Tebliğ, BHS ve Ek Sözleşme hükümlerine tabi olduğu, 3. Katılma Hesapları'nın, 3 ay, 6 ay veya [1 yıl] vadeli olarak açılabileceği, 4. (i) Tebliğ'e konu uygulama kapsamında açılan söz konusu Katılma Hesapları'nın; vade son…";;;
albaraka--formlar-genel-kredi-sozlesmesi-ucret-bilgilendirme-formu-pdf;albaraka;campaign_type;Taşıt Finansmanı;0.70;classifier;;Albaraka Türk Katılım Bankası A.Ş. İstanbul Ticaret Sicil Memurluğu No: 206671 MERSİS No: 0047000870200019 Saray Mah. Dr. Adnan Büyükdeniz Cad. No:6 34768 Ümraniye/İSTANBUL www.albaraka.com.tr / albarakaturk@hs03.kep.tr …;;;
