doc_id;bank;field;model_value;model_conf;confidence_source;disagreement;snippet;gold_value;verdict;note
adil-katilim--katilim-bankaciligi;adil-katilim;campaign_type;Konut Finansmanı;0.60;classifier;;Anasayfa > Katılım Bankacılığı Katılım Bankacılığı Katılım bankacılığı, faizsiz finans ilkeleri doğrultusunda reel ekonomiyi esas alan bir bankacılık anlayışıdır. Tüm işlemler, kâr-zarar paylaşımı ve gerçek ticaret prens …;;;
adil-katilim--katilim-bankaciligi-belgeler;adil-katilim;campaign_type;Yatırım Ürünü;0.70;classifier;;Anasayfa > Katılım Bankacılığı > Belgeler Belgeler Bilgilendirme Formları Katılma Hesapları (Mudarabeye – Emek Sermaye Ortaklığına- Dayalı) Müşteri Bilgilendirme Formu Murabahaya Dayalı Finansman Akdi Bilgilendirme Formu …;;;
albaraka--2026-biletcom-ucak-bileti-kampanyasi;albaraka;campaign_type;Konut Finansmanı;0.60;classifier;;Albaraka Mobil Mobil Bankacılık Aç bilet.com Uçak Bileti Kampanyası Anasayfa Kampanyalar Detay 2026 Siz de hemen Albaraka kredi kartları ile bilet.com mobil uygulaması üzerinden yurt içi ve yurt dışı uçak bileti alımı ya …;;;
albaraka--2026-biletcom-ucak-bileti-kampanyasi;albaraka;kampanya_suresi;2026-05-01;0.85;rule_heuristic;;…arında 350 TL, yurt dışı uçak bileti alımlarında 700 TL indirim kazanın! Kampanya Başlangıç ve Bitiş Tarihi: • Kampanya [1 Mayıs 2026] - 31 Aralık 2026 tarihlerinde geçerlidir. Ek Kampanya Detayları: Albaraka Mobil üzerinden alınacak indirim kodu ile bil…;;;
albaraka--2026-hizli-cicek-25-indirim-kampanyasi;albaraka;campaign_type;Konut Finansmanı;0.60;classifier;;Albaraka Mobil Mobil Bankacılık Aç Hızlı Çiçek %25 İndirim Kampanyası Anasayfa Kampanyalar Detay 2026 Siz de hemen Hızlı Çiçek mobil uygulamasından sevdiklerinizi mutlu edecek hediyenizi seçin, %25 indirim kodunuzu kaçır …;;;
albaraka--2026-hizli-cicek-25-indirim-kampanyasi;albaraka;kampanya_suresi;2026-05-01;0.85;rule_heuristic;;…Albaraka Mobil'den aldığınız kodu girin, %25 indirim fırsatını kaçırmayın. Kampanya Başlangıç ve Bitiş Tarihi: Kampanya [1 Mayıs 2026] - 31 Aralık 2026 tarihlerinde geçerlidir. Kampanya Detayları: Kampanyadan 31 Aralık 2026 tarihine kadar faydalanabilirs…;;;
albaraka--2026-kahve-keyfiniz-albarakadan;albaraka;campaign_type;Konut Finansmanı;0.60;classifier;;Albaraka Mobil Mobil Bankacılık Aç Kahve Keyfiniz Albaraka'dan! Anasayfa Kampanyalar Detay 2026 Espressolab'de Elmas ve Platin müşterilerimize özel haftada 1 kahve hediyesi! Kampanyaya Katılım Adımları: Albaraka Mobil'e …;;;
albaraka--2026-kahve-keyfiniz-albarakadan;albaraka;kampanya_suresi;2026-06-30;0.85;rule_heuristic;;"…şturduğunuz QR kodu kasadaki görevliye göstererek hediye kahvenizi alın. Kampanya Başlangıç ve Bitiş Tarihi: Kampanya 1-[30 Haziran 2026] tarihlerinde geçerlidir. Kampanya Detayları: Kampanya sadece Espressolab'ın Türkiye mağazalarında; küçük boy (12 oz) ar…";;;
albaraka--detay-albaraka-restoran-harcamaniza-5-indirimm-kazandiriyor;albaraka;campaign_type;Kart;0.80;classifier;;Albaraka Mobil Mobil Bankacılık Aç Albaraka Restoran Harcamanıza %10 İndirim Kazandırıyor! Anasayfa Kampanyalar Detay Dijital Portföy Yönetimi müşterilerine özel kredi kartları ile yapacağı restoran harcamalarına %10'una …;;;
albaraka--detay-albaraka-restoran-harcamaniza-5-indirimm-kazandiriyor;albaraka;kampanya_suresi;2026-07-31;0.85;rule_heuristic;;… harcamalarının %10'una kadar toplamda 2.000 TL'ye varan iade kazanın. Kampanya Başlangıç ve Bitiş Tarihi: Kampanya 1 – [31 Temmuz 2026] tarihlerinde geçerlidir. Kmpanyadan Kimler Faydalanabilir: 1 – 31 Temmuz 2026 tarihleri arasında Albaraka Mobil'den kam…;;;
