doc_id;bank;field;model_value;model_conf;confidence_source;disagreement;snippet;gold_value;verdict;note
albaraka--detay-vade-farksiz-kampanyasi;albaraka;campaign_type;İhtiyaç Finansmanı;0.70;classifier;;Albaraka Mobil Mobil Bankacılık Aç Vade Farksız 140.000 TL'ye Varan Destek! Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş 01.01.2026 - 31.12.2026 Müşteri Ol Müşteri Ol Kâr payı yok. Beklemek yok. 140.000 TL 'ye kadar …;;;
albaraka--detay-vade-farksiz-kampanyasi;albaraka;kar_payi_orani;40000.0;0.50;rule_heuristic;;…ek yok. 140.000 TL 'ye kadar vade farksız destek Albaraka'da! Şimdi Albaraka Mobil'den müşteri olanlar, %0 kâr payı ile [40.000 ]TL'ye kadar Pratik Finansman Kart (İhtiyaç Finansmanı) kullanabiliyor ve 100.000 TL'ye varan seçili sektörlerde vade far…;;;
albaraka--detay-vade-farksiz-kampanyasi;albaraka;finansman_tutari;"{""currency"": ""TRY"", ""value"": 100000.0}";0.85;rule_heuristic;;"…rk müşterisi olun; %0 kâr paylı 40.000 TL 'ye kadar, 3 aya varan ödemesiz dönem ve 4 taksitli Pratik Finansman Kart ve, [100.000 TL] 'ye kadar vade farksız taksitli alışveriş fırsatını bir arada yakalayın. Toplamda 140.000 TL 'ye kadar vade farksız fin…";;;
albaraka--detay-vade-farksiz-kampanyasi;albaraka;vade_ay;6;0.85;rule_heuristic;;….000 TL Vadesiz Finansman Kampanyası Detayları 40.000 TL'ye Kadar Vade Farksız Finansman Desteği Tutar: 40.000 TL Vade: [6 aya] kadar Kar Payı: Vade Farksız Kullanım Alanları (Sektörler): Mobilya ve Beyaz Eşya, Oto Servis ve Bakım, Teknoloji Marke…;;;
albaraka--detay-vade-farksiz-kampanyasi;albaraka;taksit_sayisi;4;0.85;rule_heuristic;;"…en siz de şubeye gitmeden Albaraka Türk müşterisi olun; %0 kâr paylı 40.000 TL 'ye kadar, 3 aya varan ödemesiz dönem ve [4 taksit]li Pratik Finansman Kart ve, 100.000 TL 'ye kadar vade farksız taksitli alışveriş fırsatını bir arada yakalayın. Toplamd…";;;
albaraka--detay-vade-farksiz-kampanyasi;albaraka;kampanya_suresi;2026-01-01;0.72;rule_heuristic;;…aka Mobil Mobil Bankacılık Aç Vade Farksız 140.000 TL'ye Varan Destek! Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş [01.01.2026] - 31.12.2026 Müşteri Ol Müşteri Ol Kâr payı yok. Beklemek yok. 140.000 TL 'ye kadar vade farksız destek Albaraka'da! Şi…;;;
albaraka--detay-yakinini-davet-et-kampanyasi;albaraka;campaign_type;Kart;0.70;classifier;;Albaraka Mobil Mobil Bankacılık Aç Yakınını Davet Et Kampanyası Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş 14.04.2024 - 31.12.2026 Albaraka Mobil Albaraka Mobil Albaraka Türk'e müşteri olan her yakınınız için 500 T …;;;
albaraka--detay-yakinini-davet-et-kampanyasi;albaraka;kampanya_suresi;2024-04-14;0.72;rule_heuristic;;Albaraka Mobil Mobil Bankacılık Aç Yakınını Davet Et Kampanyası Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş [14.04.2024] - 31.12.2026 Albaraka Mobil Albaraka Mobil Albaraka Türk'e müşteri olan her yakınınız için 500 TL, toplamda 5.000 TL'ye…;;;
albaraka--kampanyalar-akaryakit-harcamalariniza-1000-tl-indirim;albaraka;campaign_type;Kart;0.80;classifier;;Albaraka Mobil Mobil Bankacılık Aç Akaryakıt Harcamalarınıza 1000 TL İndirim Anasayfa Kampanyalar Siz de hemen Albaraka kredi kartı sahibi olun, Yapacağınız ilk 1.000 TL ve üstü akaryakıt harcamanıza 1.000 TL kazanın! Ka …;;;
albaraka--kampanyalar-akaryakit-harcamalariniza-1000-tl-indirim;albaraka;kampanya_suresi;2025-08-31;0.85;rule_heuristic;;…ı sahibi olun, Yapacağınız ilk 1.000 TL ve üstü akaryakıt harcamanıza 1.000 TL kazanın! Kampanya Koşulları: Kampanya, 1-[31 Ağustos 2025] tarihleri arasında bankamızdan ilk defa Bireysel World Özellikli Kredi Kartı sahibi olanlar için geçerlidir. Belirtilen…;;;
albaraka--tr-kampanyalar;albaraka;campaign_type;Alışveriş Puanı;0.60;classifier;;Albaraka Mobil Mobil Bankacılık Aç Kampanyalar Tümü Dijital Eflatun Trend Özel Bankacılık Bireysel Business World Kampanyaları Geçmiş Kampanyalar Tüm Kampanyalar Tüm Kampanyalar Tüm Kampanyalar Dijital Eflatun Trend Özel …;;;
albaraka--tr-kampanyalar;albaraka;taksit_sayisi;3;0.85;rule_heuristic;;…arak kârlı birikime siz de adım atın. Son gün 31 Aralık Paylaş Facebook Twitter Linkedin MTV Ödemelerinize Vade Farksız [3 Taksit]! MTV ödemelerinize vade farksız 3 taksit fırsatını kaçırmayın! Son 1 gün Paylaş Facebook Twitter Linkedin Sağlık Harcam…;;;
dunya-katilim--kampanyalar-adv;dunya-katilim;campaign_type;Konut Finansmanı;0.60;classifier;;Anasayfa Kampanyalar ADV Paraf İle ADV Mağazalarında 6 Taksit Fırsatı! Dünya Katılım Paraf ile ADV mağazalarında Paraf POS'larından yapılacak alışverişlerde 6 aya varan taksit imkanı sunulacaktır. Mağazalardan yapılacak …;;;
dunya-katilim--kampanyalar-adv;dunya-katilim;taksit_sayisi;6;0.85;rule_heuristic;;Anasayfa Kampanyalar ADV Paraf İle ADV Mağazalarında [6 Taksit] Fırsatı! Dünya Katılım Paraf ile ADV mağazalarında Paraf POS'larından yapılacak alışverişlerde 6 aya varan taksit imkan…;;;
