doc_id;bank;field;model_value;model_conf;confidence_source;disagreement;snippet;gold_value;verdict;note
albaraka--2026-kahve-keyfiniz-albarakadan;albaraka;kampanya_suresi;2026-06-30;0.85;rule_heuristic;;"…şturduğunuz QR kodu kasadaki görevliye göstererek hediye kahvenizi alın. Kampanya Başlangıç ve Bitiş Tarihi: Kampanya 1-[30 Haziran 2026] tarihlerinde geçerlidir. Kampanya Detayları: Kampanya sadece Espressolab'ın Türkiye mağazalarında; küçük boy (12 oz) ar…";;;
albaraka--detay-dijital-katilma-hesabina-ozel-paylasim-oranlari-10;albaraka;campaign_type;Yeni Müşteri;0.60;classifier;;Albaraka Mobil Mobil Bankacılık Aç Dijital Katılma Hesabı'na Özel Paylaşım Oranları! Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş 01.04.2026 - 31.12.2026 Müşteri Ol Müşteri Ol Albaraka Mobil'i indirerek görüntülü gör …;;;
albaraka--detay-dijital-katilma-hesabina-ozel-paylasim-oranlari-10;albaraka;kampanya_suresi;2026-04-01;0.72;rule_heuristic;;… Mobil Bankacılık Aç Dijital Katılma Hesabı'na Özel Paylaşım Oranları! Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş [01.04.2026] - 31.12.2026 Müşteri Ol Müşteri Ol Albaraka Mobil'i indirerek görüntülü görüşme ile anında Albarakalı olun, avantajlı d…;;;
albaraka--detay-dijital-musterilere-ozel-pratik-finansman-kart;albaraka;campaign_type;Konut Finansmanı;0.70;classifier;;Albaraka Mobil Mobil Bankacılık Aç Dijital Müşterilere Özel Pratik Finansman Kart Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş 01.01.2026 - 31.12.2026 Müşteri Ol Müşteri Ol Vade farksız 40.000 TL ve uygun oranlı hoş …;;;
albaraka--detay-dijital-musterilere-ozel-pratik-finansman-kart;albaraka;finansman_tutari;"{""currency"": ""TRY"", ""value"": 250.0}";0.82;rule_heuristic;;… kartınızla birçok ihtiyacınız için birden fazla finansman kullanımını yapabilirsiniz. Pratik Finansman Kart ile asgari [250 TL], azami 150.000 TL finansman kullanılabilmektedir. Pratik Finansman Kart başvurunuz onaylandıktan sonra, kartınızın kury…;;;
albaraka--detay-dijital-musterilere-ozel-pratik-finansman-kart;albaraka;taksit_sayisi;4;0.85;rule_heuristic;;"…ile Albaraka'lı olan dijital müşterilerimize özel; vade farksız, azami 40.000 TL limitli, 3 aya varan ödemesiz dönem ve [4 taksit] imkânı ile birlikte toplam 6 aya varan vade imkanıyla sunulan Pratik Finansman Kart (Karz-ı Hasen) başvurusunda bulunab…";;;
albaraka--detay-dijital-musterilere-ozel-pratik-finansman-kart;albaraka;kampanya_suresi;2026-01-01;0.72;rule_heuristic;;…bil Mobil Bankacılık Aç Dijital Müşterilere Özel Pratik Finansman Kart Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş [01.01.2026] - 31.12.2026 Müşteri Ol Müşteri Ol Vade farksız 40.000 TL ve uygun oranlı hoş geldin finansmanı Albaraka'da! Beyaz eşya…;;;
albaraka--finansman-hesaplama-ihtiyac-finansmani-hesaplama;albaraka;campaign_type;Konut Finansmanı;0.70;classifier;;Albaraka Mobil Mobil Bankacılık Aç İhtiyaç Finansmanı Hesaplama Anasayfa Hesaplama Araçları Finansman Hesaplama İhtiyaç Finansmanı Hesaplama Konut Finansmanı Hesaplama Taşıt Finansmanı Hesaplama İhtiyaç Finansmanı Hesapl …;;;
albaraka--finansman-hesaplama-ihtiyac-finansmani-hesaplama;albaraka;finansman_tutari;"{""currency"": ""TRY"", ""value"": 11368.42}";0.85;rule_heuristic;;…FİNANSMANI 2. VE SONRAKİ KONUT FİNANSMANI Finansman Tutarı Vade Kâr Oranı % Oranı kendim gireceğim. Aylık Taksit Tutarı [11.368,42 TL] Geri Ödenecek Toplam Tutar 261.474,51 TL Yıllık Maliyet Oranı % 84,95 Ücretler Toplamı 750,00 Ödeme Planı Hemen Başvur …;;;
albaraka--finansmanlar-bayide-finansman-2;albaraka;campaign_type;İhtiyaç Finansmanı;0.70;classifier;;Albaraka Mobil Mobil Bankacılık Aç Bayide Finansman Anasayfa KOBİ Finansmanlar Bayide Finansman Kobi Nakdi Finansman Kobi Gayri Nakdi Finansman Leasing - Finansal Kiralama Katılım Finans Kefalet (KFK) Bayide Finansman He …;;;
albaraka--finansmanlar-kobi-gayri-nakdi-finansman;albaraka;campaign_type;Finansman;0.70;classifier;;Albaraka Mobil Mobil Bankacılık Aç Kobi Gayri Nakdi Finansman Anasayfa KOBİ Finansmanlar Kobi Gayri Nakdi Finansman Teminat Mektupları Jet Teminat Mektubu Akreditifler Kabul-Aval Finansmanları Referans Mektupları Teminat …;;;
albaraka--ihtiyac-diger-ihtiyaclariniz-icin;albaraka;campaign_type;İhtiyaç Finansmanı;0.70;classifier;;Albaraka Mobil Mobil Bankacılık Aç Diğer İhtiyaçlarınız İçin Anasayfa Bireysel Finansmanlar İhtiyaç Finansmanı Diğer İhtiyaçlarınız İçin Engelsiz Hayat Düğün Organizasyonu Teknoloji Engelsiz Hayat Tekerlekli sandalye, or …;;;
albaraka--ihtiyac-egitim-finansmani;albaraka;campaign_type;İhtiyaç Finansmanı;0.70;classifier;;Albaraka Mobil Mobil Bankacılık Aç Eğitim Finansmanı Anasayfa Bireysel Finansmanlar İhtiyaç Finansmanı Eğitim Finansmanı Pratik Finansman Kart SMS' li Finansman Şubesiz Umre Finansmanı Jet Finansman Motosiklet, ATV , Bis …;;;
albaraka--ihtiyac-hac-ve-umre-finansmani;albaraka;campaign_type;Konut Finansmanı;0.70;classifier;;Albaraka Mobil Mobil Bankacılık Aç Hac ve Umre Finansmanı Anasayfa Bireysel Finansmanlar İhtiyaç Finansmanı Hac ve Umre Finansmanı Pratik Finansman Kart SMS' li Finansman Şubesiz Umre Finansmanı Jet Finansman Motosiklet, …;;;
albaraka--ihtiyac-hac-ve-umre-finansmani;albaraka;finansman_tutari;"{""currency"": ""TRY"", ""value"": 11368.42}";0.85;rule_heuristic;;…FİNANSMANI 2. VE SONRAKİ KONUT FİNANSMANI Finansman Tutarı Vade Kâr Oranı % Oranı kendim gireceğim. Aylık Taksit Tutarı [11.368,42 TL] Geri Ödenecek Toplam Tutar 261.474,51 TL Yıllık Maliyet Oranı % 84,95 Ücretler Toplamı 750,00 Ödeme Planı Hemen Başvur …;;;
albaraka--ihtiyac-hac-ve-umre-finansmani;albaraka;vade_ay;36;0.85;rule_heuristic;;…smanı Jet Finansman Motosiklet, ATV , Bisiklet Eğitim Finansmanı Hac ve Umre Finansmanı Hac ve umre ziyaretleriniz için [36 ay] vadeli faizsiz finansman desteğimizden yararlanarak kutsal topraklarda bulunmanın huzurunu ve mutluluğunu yaşayabilirsi…;;;
albaraka--kredi-kartlari-eflatun-kredi-karti;albaraka;campaign_type;Kart;0.80;classifier;;Albaraka Mobil Mobil Bankacılık Aç Eflatun Kredi Kartı Anasayfa Bireysel Kartlar Kredi Kartları Eflatun Kredi Kartı World Platinum Kart World Gold Kart World Klasik Kart Troy Kredi Kartı Trend Kredi Kartı Eflatun Kredi K …;;;
albaraka--kredi-kartlari-eflatun-kredi-karti;albaraka;finansman_tutari;"{""currency"": ""TRY"", ""value"": 2500.0}";0.85;rule_heuristic;;…için tasarlanmıştır. Eflatun Kart temassız özellikli olup temassız özellikli POS cihazları üzerinden kredi kartınız ile [2.500 TL] ve altındaki harcamalarınızı temassız özellik sayesinde şifre tuşlamaya gerek duymadan hızlı ve güvenli bir şekilde ger…;;;
albaraka--kredi-kartlari-eflatun-kredi-karti;albaraka;odul_miktari;"{""currency"": ""TRY"", ""value"": 2500.0}";0.82;rule_heuristic;;…arınızı temassız özellik sayesinde şifre tuşlamaya gerek duymadan hızlı ve güvenli bir şekilde gerçekleştirebilirsiniz. [2.500 TL] ve üstü harcamalarınızda şifre tuşlamanız gerekmektedir. Temassız özellikle peş peşe yaptığınız işlemler 99 adete ulaşt…;;;
dunya-katilim--finansmanlar-arac-finansmanlari;dunya-katilim;campaign_type;Taşıt Finansmanı;0.60;classifier;;Anasayfa Kendim Için Içerik Finansmanlar Araç Finansmanları Araç Finansmanları Araç Finansmanları Araç Finansmanı Dünya Katılım Bankası ile hayalinizdeki araca ulaşmak artık çok daha kolay. Esnek ödeme planları, hızlı sü …;;;
dunya-katilim--finansmanlar-arac-finansmanlari;dunya-katilim;vade_ay;12;0.55;rule_heuristic;;"…çilerin İnternet Sitesini ziyaret sıklığına ve ziyaret zamanlarına ilişkin bilgi toplamak amacıyla kullanılan çerezdir. [1 yıl] 5.Kişisel Veri Sahibi Olarak Haklarınız Nelerdir? Kişisel veri sahipleri Kanunun ""ilgili kişinin haklarını düzenleyen"" …";;;
dunya-katilim--fiziki-altin-alimi-dijitalden-fiziki-altin-islemleri;dunya-katilim;campaign_type;İhtiyaç Finansmanı;0.60;classifier;;Anasayfa Kendim Için Içerik Altın Bankacılığı Fiziki Altın Alımı Dijitalden Fiziki Altın İşlemleri Dijitalden Fiziki Altın Nedir ? Mobil şubemiz ve internet şubemiz üzerinden güvenli ve kolay bir şekilde altın alımı yapa …;;;
dunya-katilim--fiziki-altin-alimi-dijitalden-fiziki-altin-islemleri;dunya-katilim;vade_ay;12;0.55;rule_heuristic;;"…çilerin İnternet Sitesini ziyaret sıklığına ve ziyaret zamanlarına ilişkin bilgi toplamak amacıyla kullanılan çerezdir. [1 yıl] 5.Kişisel Veri Sahibi Olarak Haklarınız Nelerdir? Kişisel veri sahipleri Kanunun ""ilgili kişinin haklarını düzenleyen"" …";;;
dunya-katilim--gayri-nakdi-finansman-teminat-mektuplari;dunya-katilim;campaign_type;Finansman;0.70;classifier;;Anasayfa Isim Için Içerik Finansmanlar Gayri Nakdi Finansman Teminat Mektupları Teminat Mektupları Nedir? Teminat mektubu, bir işlem veya sözleşme kapsamında taraflar arasındaki taahhütlerin yerine getirilmesini garanti …;;;
dunya-katilim--gayri-nakdi-finansman-teminat-mektuplari;dunya-katilim;vade_ay;12;0.55;rule_heuristic;;"…çilerin İnternet Sitesini ziyaret sıklığına ve ziyaret zamanlarına ilişkin bilgi toplamak amacıyla kullanılan çerezdir. [1 yıl] 5.Kişisel Veri Sahibi Olarak Haklarınız Nelerdir? Kişisel veri sahipleri Kanunun ""ilgili kişinin haklarını düzenleyen"" …";;;
dunya-katilim--hayat-sigortalari-finansmana-bagli-ferdi-kaza-sigortasi;dunya-katilim;campaign_type;İhtiyaç Finansmanı;0.60;classifier;;Anasayfa Kendim Için Içerik Sigortalar Hayat Sigortaları Finansmana Bağlı Ferdi Kaza Sigortası Finansman'a Bağlı Ferdi Kaza Sigortası Nedir ? Dünya Katılım Ferdi Kaza Sigortası, finansman süresi boyunca devam eden bir si …;;;
