doc_id;bank;field;model_value;model_conf;confidence_source;disagreement;snippet;gold_value;verdict;note
turkiye-emlak-katilim--kurumsal-kampanyalar;turkiye-emlak-katilim;campaign_type;Konut Finansmanı;0.60;classifier;;Türkiye Emlak Katılım Bankası A.Ş. internet sitesini ziyaretiniz esnasında kullanılabilecek çerezler ve benzeri teknolojiler hakkında bilgi vermek amacıyla işbu Çerez Politikası'nı hazırlanmıştır. Kampanyalar Ana sayfa K …;;;
turkiye-finans--bireysel-arsa-finansmani;turkiye-finans;campaign_type;Konut Finansmanı;0.80;classifier;;Navigasyonu görüntüle İçeriği görüntüle GÜNCELLE Çerez Politikası ve 6698 sayılı Kişisel Verilerin Korunması Kanunu kapsamında Bankamız ile paylaşmış olduğunuz kişisel verileriniz ile ilgili detaylı bilgiye Kişisel Veril …;;;
turkiye-finans--bireysel-arsa-finansmani;turkiye-finans;vade_ay;60;0.85;rule_heuristic;;…r. Yıllık maliyete kar oranı, tahsis ücreti, ekspertiz ücreti, ipotek tesis ücreti dahil edilmiştir. Alınacak ücretler: [60 ay] vadede 500 TL tahsis ücreti, 3.000 TL ipotek tesis ücreti, 16.500 TL Ekspertiz(Değerleme) ücretidir. Ekspertiz ücreti m…;;;
turkiye-finans--bireysel-isyeri-finansmani;turkiye-finans;campaign_type;Konut Finansmanı;0.80;classifier;;Navigasyonu görüntüle İçeriği görüntüle GÜNCELLE Çerez Politikası ve 6698 sayılı Kişisel Verilerin Korunması Kanunu kapsamında Bankamız ile paylaşmış olduğunuz kişisel verileriniz ile ilgili detaylı bilgiye Kişisel Veril …;;;
turkiye-finans--dis-ticaret-ve-finansmani-dis-ticaret-odeme-yontemleri-2;turkiye-finans;campaign_type;Konut Finansmanı;0.80;classifier;;Navigasyonu görüntüle İçeriği görüntüle GÜNCELLE Çerez Politikası ve 6698 sayılı Kişisel Verilerin Korunması Kanunu kapsamında Bankamız ile paylaşmış olduğunuz kişisel verileriniz ile ilgili detaylı bilgiye Kişisel Veril …;;;
turkiye-finans--ihtiyac-finansmani-ihtiyac-finansmani;turkiye-finans;campaign_type;Konut Finansmanı;0.80;classifier;;Navigasyonu görüntüle İçeriği görüntüle GÜNCELLE Çerez Politikası ve 6698 sayılı Kişisel Verilerin Korunması Kanunu kapsamında Bankamız ile paylaşmış olduğunuz kişisel verileriniz ile ilgili detaylı bilgiye Kişisel Veril …;;;
turkiye-finans--ihtiyac-finansmani-ihtiyac-finansmani;turkiye-finans;finansman_tutari;"{""currency"": ""TRY"", ""value"": 125000.0}";0.85;rule_heuristic;;… İhtiyaç Finansmanı (İhtiyaç Kredisi)* başvurunuzu hemen yapabilirsiniz. Detaylı bilgi için tıklayın . Finansman tutarı [125.000 TL]' ye kadar olması durumunda maksimum vade 36 ay, Finansman tutarı 125.000 - 250.000 TL' ye kadar olması durumunda maksim…;;;
turkiye-finans--ihtiyac-finansmani-ihtiyac-finansmani;turkiye-finans;vade_ay;36;0.85;rule_heuristic;;…emen yapabilirsiniz. Detaylı bilgi için tıklayın . Finansman tutarı 125.000 TL' ye kadar olması durumunda maksimum vade [36 ay], Finansman tutarı 125.000 - 250.000 TL' ye kadar olması durumunda maksimum vade 24 ayı, Finansman tutarının 250.000 TL'…;;;
turkiye-finans--ihtiyac-finansmani-ihtiyac-finansmani;turkiye-finans;odul_miktari;"{""currency"": ""TRY"", ""value"": 500.0}";0.82;rule_heuristic;;…gerçekleştirdikleri EFT/Havale işlemleri için ücret ödemiyor, tam 8700 anlaşmalı ATM'den aynı ay içerisinde tek seferde [500 TL]'ye kadar olan tüm para çekme işlemlerini komisyon ücreti ödemeden gerçekleştiriyor ve Aidatsız Happy Zero kartları ile …;;;
turkiye-finans--kampanyalar-bes-ile-yarininiza-deger-katin;turkiye-finans;vade_ay;3;0.55;rule_heuristic;;…tkı payını bankamız kredi kartı ile ödeyen müşterimiz 1.950 TL bonus kazanacaktır. Kampanya dahilinde BES katkı payının [3 ay] düzenli olarak ödenmesi gerekmektedir. Düzenli ödenmeyen katkı payı olması durumunda yüklenen bonuslar 3. ayın sonunda …;;;
turkiye-finans--kampanyalar-bes-ile-yarininiza-deger-katin;turkiye-finans;kampanya_suresi;2026-12-31;0.72;rule_heuristic;;…ı hakkında daha fazla bilgi alın. Türkiye Finans BES Kampanyası Hangi Tarihler Arasında Geçerlidir? Kampanya 25 Mayıs - [31 Aralık 2026] tarihleri arasında geçerlidir Türkiye Finans BES Kampanyasından Nasıl Yararlanabilirim? 650 TL bonus kazanmak için BES …;;;
turkiye-finans--kampanyalar-biten-kampanyalar;turkiye-finans;campaign_type;Konut Finansmanı;0.80;classifier;;Navigasyonu görüntüle İçeriği görüntüle GÜNCELLE Çerez Politikası ve 6698 sayılı Kişisel Verilerin Korunması Kanunu kapsamında Bankamız ile paylaşmış olduğunuz kişisel verileriniz ile ilgili detaylı bilgiye Kişisel Veril …;;;
turkiye-finans--kampanyalar-biten-kampanyalar;turkiye-finans;kar_payi_orani;3.0;0.85;rule_heuristic;;… Türkiye Finans'ta Bayrama özel İhtiyaç Finansmanı'nda KKB skorundan bağımsız tüm vadelerde sabit %4.09 kâr payı oranı, [3 ]ay erteleme fırsatı ve yeni müşterilere özel dosya masrafsızlık avantajı sizi bekliyor. Detaylı Bilgi Avukatlar Günü'ne …;;;
turkiye-finans--kampanyalar-biten-kampanyalar;turkiye-finans;vade_ay;3;0.72;rule_heuristic;;… Türkiye Finans'ta Bayrama özel İhtiyaç Finansmanı'nda KKB skorundan bağımsız tüm vadelerde sabit %4.09 kâr payı oranı, [3 ay] erteleme fırsatı ve yeni müşterilere özel dosya masrafsızlık avantajı sizi bekliyor. Detaylı Bilgi Avukatlar Günü'ne Öz…;;;
turkiye-finans--kampanyalar-dijital-bankacilik-kampanyalari;turkiye-finans;campaign_type;Konut Finansmanı;0.80;classifier;;Navigasyonu görüntüle İçeriği görüntüle GÜNCELLE Çerez Politikası ve 6698 sayılı Kişisel Verilerin Korunması Kanunu kapsamında Bankamız ile paylaşmış olduğunuz kişisel verileriniz ile ilgili detaylı bilgiye Kişisel Veril …;;;
turkiye-finans--kampanyalar-dijital-bankacilik-kampanyalari;turkiye-finans;kar_payi_orani;50000.0;0.50;rule_heuristic;;…Ol, Kâr Paysız 50.000 TL'ye Varan İhtiyaç Finansmanını Kaçırma! Şimdi mobilden Türkiye Finanslı olanlar %0 kar payı ile [50.000 ]TL'ye varan İhtiyaç Finansmanından yararlanıyor. Detaylı Bilgi Faturaları Unutun, 4.000 TL'ye Varan Bonus Kazanın! Mobil…;;;
turkiye-finans--kampanyalar-emekliler-haftasina-ozel-avantajlar;turkiye-finans;campaign_type;Konut Finansmanı;0.80;classifier;;Navigasyonu görüntüle İçeriği görüntüle GÜNCELLE Çerez Politikası ve 6698 sayılı Kişisel Verilerin Korunması Kanunu kapsamında Bankamız ile paylaşmış olduğunuz kişisel verileriniz ile ilgili detaylı bilgiye Kişisel Veril …;;;
turkiye-finans--kampanyalar-emekliler-haftasina-ozel-avantajlar;turkiye-finans;vade_ay;3;0.85;rule_heuristic;;…r 50.000 TL'ye Kadar Kâr Paysız İhtiyaç Finansmanı kampanyası ile Mobilden Türkiye Finanslı olarak %0 kâr payı oranı ve [3 ay] vadeli olarak 50.000 TL'ye kadar İhtiyaç Finansmanı başvurusu yapma avantajından faydalanabilirsiniz. Mobilden Türkiye …;;;
turkiye-finans--kampanyalar-emekliler-haftasina-ozel-avantajlar;turkiye-finans;taksit_sayisi;3;0.85;rule_heuristic;;…ilir, acil ihtiyaçlarınızı zorlanmadan karşılayabilirsiniz. Happy Bonus Kredi Kartı ile fatura ödemelerinize kâr paysız [3 taksit] imkânından faydalanabilirsiniz. Happy Bonus Kredi Kartı ile vergi ödemelerinize kâr paysız 3 taksit imkânından faydalan…;;;
turkiye-finans--kampanyalar-emekliler-haftasina-ozel-avantajlar;turkiye-finans;kampanya_suresi;2026-07-31;0.72;rule_heuristic;;…ına Özel Avantajlar Kampanyası Hangi Tarihler Arasında Geçerlidir? Kampanya kapsamındaki tüm avantajlardan 30 Haziran – [31 Temmuz 2026] tarihleri arasında yarlanılabilir.* Emekliler Haftasına Özel Avantajlar Kampanyasından Kimler Yararlanabilir? Emekliler…;;;
turkiye-finans--kampanyalar-emeklilere-nakit-promosyon;turkiye-finans;finansman_tutari;"{""currency"": ""TRY"", ""value"": 5000.0}";0.85;rule_heuristic;;…tarı Ek Promosyon Tutarı 2 Adet Fatura Otomatik Ödeme Talimatı Ek Promosyon Tutarı Yedek Hesap Bonus Tutarı Tek Seferde [5.000 TL] Kredi Kartı Harcaması Her bir Emekli Yakını için 500 TL toplamda 5.000 TL Nakit Ödül Toplam Promosyon Tutarı 9.999 TL v…;;;
turkiye-finans--kampanyalar-fatura-2300tl-bonus;turkiye-finans;vade_ay;6;0.55;rule_heuristic;;…enecektir. Verilen otomatik fatura ödeme talimatı ya da talimatlarının (6) ay boyunca bankamızda kalması gerekmektedir. [6 ay] içerisinde iptal edilen faturalar için verilen bonus puanların tamamı geri alınır ve kartınıza borç olarak yansıtılır. …;;;
turkiye-finans--kampanyalar-fatura-2300tl-bonus;turkiye-finans;kampanya_suresi;2026-07-31;0.72;rule_heuristic;;…t için 500 TL, toplam 2.000 TL bonus kazanabilirsiniz. Kampanya Hangi Tarihler Arasında Geçerlidir? Kampanya 1 Temmuz - [31 Temmuz 2026] tarihleri arasında geçerlidir. 4.000 TL Bonus Kazandıran Kampanyadan Kimler Yararlanabilir? Mobilden müşteri olup, Happ…;;;
turkiye-finans--kampanyalar-finansman-kampanyalari;turkiye-finans;campaign_type;Konut Finansmanı;0.80;classifier;;Navigasyonu görüntüle İçeriği görüntüle GÜNCELLE Çerez Politikası ve 6698 sayılı Kişisel Verilerin Korunması Kanunu kapsamında Bankamız ile paylaşmış olduğunuz kişisel verileriniz ile ilgili detaylı bilgiye Kişisel Veril …;;;
turkiye-finans--kampanyalar-finansman-kampanyalari;turkiye-finans;vade_ay;3;0.55;rule_heuristic;;…lışanlarına Özel İhtiyaç Finansmanı* Banka çalışanlarına, kendi çalışanlarımıza sunduğumuz sabit ve avantajlı oranlarla [3 ay] ertelemeli ihtiyaç finansmanı Türkiye Finans'ta! Detaylı Bilgi Kamu Çalışanlarına Özel İhtiyaç Finansmanı* Türkiye Fina…;;;
turkiye-finans--kampanyalar-gunluk-hesap-vade-kampanyasi;turkiye-finans;campaign_type;Konut Finansmanı;0.80;classifier;;Navigasyonu görüntüle İçeriği görüntüle GÜNCELLE Çerez Politikası ve 6698 sayılı Kişisel Verilerin Korunması Kanunu kapsamında Bankamız ile paylaşmış olduğunuz kişisel verileriniz ile ilgili detaylı bilgiye Kişisel Veril …;;;
turkiye-finans--kampanyalar-kamu-calisanlarina-ozel-ihtiyac-finansmani;turkiye-finans;campaign_type;Konut Finansmanı;0.80;classifier;;Navigasyonu görüntüle İçeriği görüntüle GÜNCELLE Çerez Politikası ve 6698 sayılı Kişisel Verilerin Korunması Kanunu kapsamında Bankamız ile paylaşmış olduğunuz kişisel verileriniz ile ilgili detaylı bilgiye Kişisel Veril …;;;
