doc_id;bank;field;model_value;model_conf;confidence_source;disagreement;snippet;gold_value;verdict;note;protokol
albaraka--detay-dijital-musterilere-ozel-pratik-finansman-kart;albaraka;tahsis_ucreti;;;;;;;ok;"#recall-opus5 Model deger uretmedi; belgede tahsis/dosya ucreti hic gecmiyor. Bos model_value + metinde de yok = ok (dogru sessizlik).";v2
albaraka--detay-dijital-musterilere-ozel-pratik-finansman-kart;albaraka;masraf_durumu;;;;;;;ok;"#recall-opus5 Model deger uretmedi; metinde masrafsiz/ucret alinmaz turu pozitif bir masraf ifadesi yok. 'Vade farksiz' masraf degil, vade farki (kar orani) ifadesidir.";v2
albaraka--detay-dijital-musterilere-ozel-pratik-finansman-kart;albaraka;odul_miktari;;;;;;;ok;"#recall-opus5 Model deger uretmedi; 40.000 TL hos geldin FINANSMANIDIR, odul/hediye degil. Odul tutari yok, bos birakma dogru.";v2
albaraka--detay-dijital-musterilere-ozel-pratik-finansman-kart;albaraka;indirim_orani;;;;;;;ok;"#recall-opus5 Model deger uretmedi; belgede indirim yuzdesi gecmiyor, gecen yuzdeler kar orani (0%, 3,95%, 3,90%, 3,85%).";v2
albaraka--detay-dijital-musterilere-ozel-pratik-finansman-kart;albaraka;alisveris_puani;;;;;;;ok;"#recall-opus5 Model deger uretmedi; puan/mil/chip-para veya puan iadesi ifadesi belgede yok.";v2
albaraka--tr-urun-ve-hizmet-ucretleri;albaraka;finansman_tutari;;;;;;;ok;"#recall-opus5 Model deger uretmedi. Belge ucret tarifesi sayfasi, tek oznesi yok (4.13/1); finansman tutari bildiren bir satir yok, tablodaki tutarlar islem ucretleri.";v2
albaraka--tr-urun-ve-hizmet-ucretleri;albaraka;taksit_sayisi;;;;;;;ok;"#recall-opus5 Model deger uretmedi; tarife sayfasinda taksit sayisi bildiren bir ifade yok.";v2
albaraka--tr-urun-ve-hizmet-ucretleri;albaraka;tahsis_ucreti;;;;;;;ok;"#recall-opus5 Model deger uretmedi. Sayfadaki tahsis ucretleri oransal (%0,5) ve birden cok urune ait; 4.13/5 geregi para-tipli tahsis_ucreti degeri degil. Bos birakma reddedilecek bir sey uretmedi.";v2
albaraka--tr-urun-ve-hizmet-ucretleri;albaraka;odul_miktari;;;;;;;ok;"#recall-opus5 Model deger uretmedi; tarife sayfasinda odul/hediye/nakit iade yok, tum tutarlar musteriden alinan ucret.";v2
albaraka--tr-urun-ve-hizmet-ucretleri;albaraka;indirim_orani;;;;;;;ok;"#recall-opus5 Model deger uretmedi; tarifedeki yuzdeler komisyon/ucret oranlaridir, indirim degil.";v2
albaraka--tr-urun-ve-hizmet-ucretleri;albaraka;alisveris_puani;;;;;;;ok;"#recall-opus5 Model deger uretmedi; puan/mil ifadesi yok.";v2
albaraka--tr-urun-ve-hizmet-ucretleri;albaraka;hedef_kitle;;;;;;;ok;"#recall-opus5 Model deger uretmedi. Sayfa Bireysel/Ticari basliklariyla urun kirilimi yapiyor; bu urun-kanal ayrimi segment degil (4.13/2), dort etiketten hicbiri icin sinyal yok.";v2
turkiye-finans--bireysel-urun-hizmet-ucretleri;turkiye-finans;kar_payi_orani;4.25;0.85;rule_heuristic;;r Azami Oran Açıklama Güncelleme Tarihi Kâr Oranı % 4.25 BSMV ve KKDF hariçtir. 01.01.2026 00:00:;;absent;#recall-opus5 Model 4.25 uretti ama kaynak Yedek Hesap tarife satiri (Kar Orani %4.25) - ucret tarifesi sayfasinin bir satiri, belgenin anlattigi tek bir ozneye ait degil (4.13/1). #kampanya_disi;v2
turkiye-finans--bireysel-urun-hizmet-ucretleri;turkiye-finans;tahsis_ucreti;;;;;;;ok;"#recall-opus5 Model deger uretmedi. Sayfadaki Tahsis Ucreti satirlari oransal (%0,5) ve bircok ayri urune ait; 4.13/5 geregi para-tipli bir tahsis ucreti degeri degil.";v2
turkiye-finans--bireysel-urun-hizmet-ucretleri;turkiye-finans;masraf_durumu;"{""has_fee"": false, ""amount"": 0.0}";0.95;rule_heuristic;;i Oran Açıklama Güncelleme Tarihi İşlem Ücreti 0 TL 0 TL Ücretsiz 27.01.2022 10:00:00;;absent;#recall-opus5 Model has_fee:false uretti ama kaynak 'Kasadan Hesaba (Para Yatirma) Islem Ucreti 0 TL Ucretsiz' - transfer ucret tarifesi satiri. Belgenin bir oznesi yok. #kampanya_disi;v2
turkiye-finans--bireysel-urun-hizmet-ucretleri;turkiye-finans;odul_miktari;"{""value"": 120.0, ""currency"": ""TRY""}";0.95;rule_heuristic;;Tarihi Çek Defteri (Yaprak Başı) 120 TL 120 TL Çek defter ücretleri, yaprak sayısı ile;;absent;#recall-opus5 Model 120 TL uretti ama kaynak 'Cek Defteri (Yaprak Basi) 120 TL' - musteriden ALINAN ucret satiri, odul/hediye degil. #kampanya_disi;v2
turkiye-finans--bireysel-urun-hizmet-ucretleri;turkiye-finans;indirim_orani;;;;;;;ok;"#recall-opus5 Model deger uretmedi; sayfadaki yuzdeler komisyon/kar/gecikme oranlari, indirim yuzdesi yok.";v2
turkiye-finans--bireysel-urun-hizmet-ucretleri;turkiye-finans;alisveris_puani;;;;;;;ok;"#recall-opus5 Model deger uretmedi; puan/mil/puan iadesi ifadesi yok.";v2
turkiye-finans--bireysel-urun-hizmet-ucretleri;turkiye-finans;kampanya_kosullari;"[""Türkiye Finans'ın 100'ünde Gelecek Olan 5 Üyesi Cumhuriyetimizin Unutulmaz 100'leri Bankacılığın Tarihçesi ve Türkiye'de Bankacılık Türleri Dijital Dünyada Güvenlik İçin Temel İpuçları Avrupa Yeşil Mutabakatı: Sürdürülebilir Ekonomiler İçin Yol Haritası 2023'ü Geride Bırakırken DASK - Zorunlu Deprem Sigortası Nedir?"", ""kişilere ödenen ücretler kapsamında değişmektedir.Ekspertiz işlemlerinde yalnızca üçüncü kişilere ödenen ücretler alınabilir."", ""kişilere ödenen ücretler kapsamında değişmektedir.Ekspertiz işlemlerinde yalnızca üçüncü kişilere ödenen ücretler alınabilir."", ""kişilere ödenen ücretler kapsamında değişmektedir.Ekspertiz işlemlerinde yalnızca üçüncü kişilere ödenen ücretler alınabilir."", ""01.01.2020 00:00:00 İhtiyaç Finansmanı Finansman Oranları ve Ücretleri Masraf Asgari Tutar Asgari Oran Azami Tutar Azami Oran Açıklama Güncelleme Tarihi Vade: 0-6 ay % 9 15.05.2026 00:00:00 Vade: 7-12 ay % 9 15.05.2026 00:00:00 Vade: 13-24 ay % 9 15.05.2026 00:00:00 Vade: 25-36 ay % 9 15.05.2026 00:00:00 Tahsis Ücreti % 0.5 Finansman Tahsis Ücreti hesaplamasına %15 BSMV dahil edilmektedir."", ""02.01.2026 00:00:00 Taşıt Finansman Oranları ve Ücretleri Masraf Asgari Tutar Asgari Oran Azami Tutar Azami Oran Açıklama Güncelleme Tarihi Vade: 0-12 ay % 9 15.05.2026 00:00:00 Vade: 13-24 ay % 9 15.05.2026 00:00:00 Vade: 25-36 ay % 9 15.05.2026 00:00:00 Vade: 37-48 ay % 9 15.05.2026 00:00:00 Tahsis Ücreti % 0.5 Finansman Tahsis Ücreti hesaplamasına %15 BSMV dahil edilmektedir."", ""02.01.2026 00:00:00 Yedek Hesap Yedek Hesap Oranları Masraf Asgari Tutar Asgari Oran Azami Tutar Azami Oran Açıklama Güncelleme Tarihi Kâr Oranı % 4.25 BSMV ve KKDF hariçtir."", ""01.01.2026 00:00:00 Gecikme Cezası % 4.55 BSMV ve KKDF hariçtir.""]";0.65;rule_heuristic;;Yarar? Kredi Notu (Kredi Puanı) Nedir? Türkiye Finans'ın 100'ünde Gelecek Olan 5 Üyesi Cumhuriyetimizin Unutulmaz 100'leri Bankacılığın Tarihçesi ve Türkiye'de Bankacılık Türleri Dijital Dünyada Güvenlik İçin Temel İpuçları Avrupa Yeşil Mutabakatı: Sürdürülebilir Ekonomiler İçin Yol Haritası 2023'ü ;;absent;"#recall-opus5 Model kosul diye blog basliklari ve ekspertiz/tarife tablosu parcalari uretti; hicbiri bu belgenin oznesine ait kosul cumlesi degil. K2/K4 sonrasi geriye kosul kalmiyor. #kampanya_disi";v2
turkiye-finans--bireysel-urun-hizmet-ucretleri;turkiye-finans;hedef_kitle;"[""belirli_segment"", ""maas_musterisi"", ""yeni_musteri""]";0.95;rule_heuristic;;Tüm Renkleri Buluşturan Güzellikleriyle Hoş Geldin Ramazan! İşsizlik Maaşı (İşsizlik Ödene;;absent;"#recall-opus5 Model uc etiket uretti; gosterdigi yer blog listesi. Tarife sayfasinda hicbir segment sinyali yok, etiketler yan menu metninden turetilmis. #kampanya_disi";v2
kuveyt-turk--katilma-hesaplari-birikimli-katilma-hesabi;kuveyt-turk;taksit_sayisi;;;;;;;ok;"#recall-opus5 Model deger uretmedi. Belgede 'taksit' kelimesi hic gecmiyor - kelime testi geregi taksit sayisi verilmemistir; oradaki sayilar vade/odeme periyodu.";v2
kuveyt-turk--katilma-hesaplari-birikimli-katilma-hesabi;kuveyt-turk;tahsis_ucreti;;;;;;;ok;"#recall-opus5 Model deger uretmedi. Belgede tahsis/dosya ucreti gecmiyor; 'ek bir ucret odemenize gerek yoktur' hesap acilis ucretine dair genel ifade.";v2
kuveyt-turk--katilma-hesaplari-birikimli-katilma-hesabi;kuveyt-turk;masraf_durumu;"{""has_fee"": false, ""amount"": 0.0}";0.95;rule_heuristic;;ikimli Katılma Hesabı açmak için ek bir ücret ödemenize gerek yoktur. Tek bir talimat;;ok;"#recall-opus5 Model has_fee:false/amount:0 uretti; kaynak belgenin kendi oznesine ait 'Birikimli Katilma Hesabi acmak icin ek bir ucret odemenize gerek yoktur.' Negasyon kurali geregi masrafin SIFIR oldugunun pozitif ifadesi. Deger dogru.";v2
