doc_id;bank;field;model_value;model_conf;confidence_source;disagreement;snippet;gold_value;verdict;note;protokol
adil-katilim--katilim-bankaciligi-katilim-bankaciligi-nedir;adil-katilim;campaign_type;Yatırım Ürünü;0.70;classifier;;Anasayfa > Katılım Bankacılığı > Katılım Bankacılığı Nedir? Katılım Bankacılığı Nedir? Katılım bankacılığı, fon toplama ve finansman kullandırma başta olmak üzere bankacılık faaliyetlerinin katılım finans esaslarına uygu …;;;;v2
albaraka--ayricalik-otopark-harcamalarinizda-yuzde10-indirim-54;albaraka;campaign_type;Taşıt Finansmanı;0.60;classifier;;Ayrıcalıklar Anasayfa Ayrıcalıklar Otopark Harcamalarınızda %10 İndirim Ayrıcalıklarla dolu Albaraka Özel Bankacılık Kredi Kartlarınızı kullanarak tek seferde yapacağınız 5.000 TL'ye kadar olan otopark harcamalarınızda % …;;;;v2
albaraka--ayricalik-otopark-harcamalarinizda-yuzde10-indirim-54;albaraka;odul_miktari;"{""currency"": ""TRY"", ""value"": 5000.0}";0.82;rule_heuristic;;…pacakları otopark harcamalarında, 5.000 TL'ye kadar olan harcama tutarının %10'u kadar indirim/cashback uygulanacaktır. [5.000 TL] üstü işlemler için herhangi bir indirim uygulanmayacaktır. Kampanya aylık bazda yönetilecektir. Debit kartlar, sanal ka…;;;;v2
albaraka--ayricalik-otopark-harcamalarinizda-yuzde10-indirim-54;albaraka;kampanya_suresi;2026-12-31;0.85;rule_heuristic;;…k olarak alınacak olup müşterinin kampanyaya katılması için SMS vb. yollarla talepte bulunmasına gerek yoktur. Kampanya [31 Aralık 2026] tarihine kadar geçerlidir. Kampanya aylık 1.000 kişi ile sınırlıdır. Albaraka Türk Katılım Bankası A.Ş. kampanya şartla…;;;;v2
albaraka--gayrimenkul-finansmani-2b-arazi-finansmani;albaraka;campaign_type;Finansman;0.60;classifier;;Albaraka Mobil Mobil Bankacılık Aç 2B Arazi Finansmanı Anasayfa Bireysel Finansmanlar Gayrimenkul Finansmanı 2B Arazi Finansmanı İş Yeri Finansmanı Arsa Finansmanı 2B Arazi Finansmanı 6292 sayılı kanun kapsamındaki 2B ar …;;;;v2
albaraka--tasit-finansmani-dijital-arac-finansmani;albaraka;campaign_type;Taşıt Finansmanı;0.70;classifier;;Albaraka Mobil Mobil Bankacılık Aç Dijital Araç Finansmanı Anasayfa Bireysel Finansmanlar Taşıt Finansmanı Dijital Araç Finansmanı Taşıt Finansmanı Togg Finansmanı Dijital Araç Finansmanı Deniz Taşıtları Finansmanı Taşıt …;;;;v2
albaraka--tasit-finansmani-dijital-arac-finansmani;albaraka;kampanya_kosullari;"[""Albaraka Mobil uygulaması üzerinden sadece birkaç dakika içerisinde Dijital Araç Finansmanı'na başvurabilirsiniz."", ""Sıkça Sorulan Sorular Dijital Araç Finansmanı için gerekli belgeler nelerdir?"", ""Dijital Araç Finansmanı başvurusu için ikinci el araçlarda yeni ruhsat, noter satış sözleşmesi ve kasko poliçesi gereklidir."", ""Bu koşula uygun olarak finansman desteği limitleri şu şekilde sıralanır: Kasko değeri 400 bin TL ve altında olan araçlar için maksimum %70 Değeri 400.001 ila 800.000 TL aralığındaki araçlar için maksimum %50 Değeri 800.001 ila 1.200.000 TL aralığındaki araçlar için maksimum %30 Değeri 1.200.001 ila 2.000.000 TL aralığındaki araçlar için maksimum %20""]";0.65;rule_heuristic;;…rumuna bağlı olarak 36 aya kadar vade seçeneklerinden faydalanabilirsiniz. Dijital Araç Finansmanı'na Nasıl Başvurulur? [Albaraka Mobil uygulaması üzerinden sadece birkaç dakika içerisinde Dijital Araç Finansmanı'na başvurabilirsiniz.] Albaraka Türk müşterisi değil misiniz? Hiç sorun değil! Albaraka Mobil uygulaması üzerinden hızlıca müşterimiz olabilir…;;;;v2
dunya-katilim--kampanyalar-casper-com-tr-de-pesin-fiyatina-6-taksit-firsati;dunya-katilim;campaign_type;Konut Finansmanı;0.60;classifier;;Anasayfa Kampanyalar Casper.com.tr'de Peşin Fiyatına 6 Taksit Fırsatı! Casper.com.tr'de Peşin Fiyatına 6 Taksit Fırsatı! Dünya Katılım Paraf ile www.casper.com.tr web adresinde Paraf POS'undan yapılacak alışverişlerinize …;;;;v2
dunya-katilim--kampanyalar-casper-com-tr-de-pesin-fiyatina-6-taksit-firsati;dunya-katilim;taksit_sayisi;6;0.85;rule_heuristic;;Anasayfa Kampanyalar Casper.com.tr'de Peşin Fiyatına [6 Taksit] Fırsatı! Casper.com.tr'de Peşin Fiyatına 6 Taksit Fırsatı! Dünya Katılım Paraf ile www.casper.com.tr web adresinde Para…;;;;v2
dunya-katilim--kampanyalar-casper-com-tr-de-pesin-fiyatina-6-taksit-firsati;dunya-katilim;kampanya_suresi;2026-07-31;0.82;rule_heuristic;;… tamamında değişiklik yapma ve/veya kampanyayı durdurma hakkını saklı tutar. Paraf Kampanyaları Sona erdi Bitiş Tarihi: [31 Temmuz 2026] Paylaş Diğer Kampanyalar Tüm site ziyaretçilerimizi daha iyi tanımak, sitemizdeki kullanıcı deneyimini kişiselleştirmek…;;;;v2
