doc_id;bank;field;model_value;model_conf;confidence_source;disagreement;snippet;gold_value;verdict;note;protokol
albaraka--detay-dijital-musterilere-ozel-pratik-finansman-kart;albaraka;campaign_type;Konut Finansmanı;0.70;classifier;;Albaraka Mobil Mobil Bankacılık Aç Dijital Müşterilere Özel Pratik Finansman Kart Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş 01.01.2026 - 31.12.2026 Müşteri Ol Müşteri Ol Vade farksız 40.000 TL ve uygun oranlı hoş …;;;;v2
albaraka--detay-dijital-musterilere-ozel-pratik-finansman-kart;albaraka;finansman_tutari;"{""currency"": ""TRY"", ""value"": 250.0}";0.82;rule_heuristic;;… kartınızla birçok ihtiyacınız için birden fazla finansman kullanımını yapabilirsiniz. Pratik Finansman Kart ile asgari [250 TL], azami 150.000 TL finansman kullanılabilmektedir. Pratik Finansman Kart başvurunuz onaylandıktan sonra, kartınızın kury…;;;;v2
albaraka--detay-dijital-musterilere-ozel-pratik-finansman-kart;albaraka;taksit_sayisi;4;0.85;rule_heuristic;;"…ile Albaraka'lı olan dijital müşterilerimize özel; vade farksız, azami 40.000 TL limitli, 3 aya varan ödemesiz dönem ve [4 taksit] imkânı ile birlikte toplam 6 aya varan vade imkanıyla sunulan Pratik Finansman Kart (Karz-ı Hasen) başvurusunda bulunab…";;;;v2
albaraka--detay-dijital-musterilere-ozel-pratik-finansman-kart;albaraka;kampanya_suresi;2026-12-31;0.72;rule_heuristic;;…bil Mobil Bankacılık Aç Dijital Müşterilere Özel Pratik Finansman Kart Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş [01.01.2026] - 31.12.2026 Müşteri Ol Müşteri Ol Vade farksız 40.000 TL ve uygun oranlı hoş geldin finansmanı Albaraka'da! Beyaz eşya…;;;;v2
albaraka--finansmanlar-kobi-gayri-nakdi-finansman;albaraka;campaign_type;Finansman;0.70;classifier;;Albaraka Mobil Mobil Bankacılık Aç Kobi Gayri Nakdi Finansman Anasayfa KOBİ Finansmanlar Kobi Gayri Nakdi Finansman Teminat Mektupları Jet Teminat Mektubu Akreditifler Kabul-Aval Finansmanları Referans Mektupları Teminat …;;;;v2
albaraka--ihtiyac-eviniz-icin;albaraka;campaign_type;Konut Finansmanı;0.70;classifier;;Albaraka Mobil Mobil Bankacılık Aç Eviniz İçin Anasayfa Bireysel Finansmanlar İhtiyaç Finansmanı Eviniz İçin Konut Kirası Taşınma Ücreti ve Emlak Eşya Dekorasyon Bina Tamamlama Prefabrik Doğalgaz Dönüşüm Doğal Enerji Sis …;;;;v2
albaraka--ihtiyac-eviniz-icin;albaraka;vade_ay;12;0.85;rule_heuristic;;"…adilat Finansmanı Konut Kirası Yıllık peşin kira bedelininizi, kiracı adına ev sahibine tek seferde ödüyoruz; kiracı da [12 ay] eşit vadede geri ödemesini yapabiliyor. Böylece hem ev sahini hem de kiracı rahat ediyor. Detaylı Bilgi Taşınma Ücreti …";;;;v2
albaraka--ihtiyac-pratik-finansman-kart;albaraka;campaign_type;Konut Finansmanı;0.80;classifier;;Albaraka Mobil Mobil Bankacılık Aç Pratik Finansman Kart Anasayfa Bireysel Finansmanlar İhtiyaç Finansmanı Pratik Finansman Kart Pratik Finansman Kart SMS' li Finansman Şubesiz Umre Finansmanı Jet Finansman Motosiklet, A …;;;;v2
albaraka--ihtiyac-pratik-finansman-kart;albaraka;finansman_tutari;"{""currency"": ""TRY"", ""value"": 5672.67}";0.85;rule_heuristic;;…FİNANSMANI 2. VE SONRAKİ KONUT FİNANSMANI Finansman Tutarı Vade Kâr Oranı % Oranı kendim gireceğim. Aylık Taksit Tutarı [5.672,67 TL] Geri Ödenecek Toplam Tutar 68.072,09 TL Yıllık Maliyet Oranı % 85,17 Ücretler Toplamı 537,50 Ödeme Planı Hemen Başvur Ö…;;;;v2
albaraka--ihtiyac-pratik-finansman-kart;albaraka;vade_ay;36;0.85;rule_heuristic;;…. Kartın kullanım süresini bu seçiminize göre belirleyebilirsiniz. 125.000 TL'ye kadar 2 ay ödemesiz dönem seçeneği ile [36 aya] kadar vade imkânı, 125.000 TL ile 150.000 TL arası 2 ay ödemesiz dönem seçeneği ile 24 aya kadar vade imkânı ile 150.00…;;;;v2
albaraka--ihtiyac-pratik-finansman-kart;albaraka;taksit_sayisi;12;0.85;rule_heuristic;;"…edir? Kartınız ile yapacağınız harcamalarınızda; Cep telefonlarında 20.000 TL'ye kadar olan alışverişlerinizde maksimum [12 taksit], 20.000 TL'nin üzerindeki alışverişleriniz için maksimum 3 taksit imkanına sahip olabilirsiniz. Bilgisayar alışverişler…";;;;v2
albaraka--kobi-gayri-nakdi-finansman-kabul-aval-finansmanlari;albaraka;campaign_type;Finansman;0.70;classifier;;Albaraka Mobil Mobil Bankacılık Aç Kabul-Aval Finansmanları Anasayfa KOBİ Finansmanlar Kobi Gayri Nakdi Finansman Kabul-Aval Finansmanları Teminat Mektupları Jet Teminat Mektubu Akreditifler Kabul-Aval Finansmanları Refe …;;;;v2
albaraka--sozlesmeler-bayide-finansman-tasit-aracilik-ve-garantorluk-sozlesmesi-kredi-komi;albaraka;campaign_type;Taşıt Finansmanı;0.70;classifier;;ALBARAKA TÜRK KATILIM BANKASI A.Ş. İnkılap Mah. Dr. Adnan Büyükdeniz Cad. No:6 34768 Ümraniye/İstanbul İstanbul Ticaret Sicil Memurluğu/206671 MERSİS No: 0047000870200019 www.albaraka.com.tr / albarakaturk@hs03.kep.tr / …;;;;v2
dunya-katilim--2516-dk-bireysel-ucrt11-180526-pdf;dunya-katilim;campaign_type;Konut Finansmanı;0.70;classifier;;dunyakatilim.com.tr 444 3 166 FİNANSAL TÜKETİCİLER ÜRÜN VE HİZMET ÜCRET TABLOSU Ürün / İşlem Türü Asgari Tutar Minimum Oran Azami Tutar Maksimum Oran Açıklama Tarih Ücret Tarifesi 0,50% 0,50% 0,50% 1% 1% 14.000 TL 8.000 …;;;;v2
dunya-katilim--2516-dk-bireysel-ucrt11-180526-pdf;dunya-katilim;finansman_tutari;"{""currency"": ""TRY"", ""value"": 20778.0}";0.82;rule_heuristic;;…t Ücreti Paraf Platinum Kredi Kartı TROY Ek Kart Ücreti Kredi Kartından Yenileme Ücreti BİREYSEL KREDİLER Tahsis Ücreti [20.778 TL] 3.000 TL 3.000 TL 350,92 TL 350,92 TL 350,92 TL 14.000 TL 8.000 TL 4.250 TL 14.000 TL 8.000 TL 4.250 TL 10.000 TL 6.000…;;;;v2
hayat-finans--finansmanlar-is-ticari-finansman;hayat-finans;campaign_type;Finansman;0.70;classifier;;Ticari Finansman Firmanıza özel, ticari faaliyetlerinize uyum sağlayan esnek ve avantajlı finansman çözümlerinden faydalanın! Firmanıza özel finansman çözümleri Ticari faaliyetlerinize uygun esnek finansman seçeneklerind …;;;;v2
hayat-finans--hesaplar-katilma-hesabi;hayat-finans;campaign_type;Yatırım Ürünü;0.70;classifier;;Katılma Hesabı Tasarruflarınız aynı gün değerlenmeye başlasın! Katılma Hesabı ile vade sonunda kâr-zarar ortaklığı ile paylaşılan getiri sayesinde birikimlerinize değer katabilirsiniz. Katılma Hesabı Nedir? Önceden belir …;;;;v2
hayat-finans--hesaplar-katilma-hesabi;hayat-finans;finansman_tutari;"{""currency"": ""TRY"", ""value"": 10000000.0}";0.85;rule_heuristic;;…güvencesi altındadır. Kâr Payı Hesaplama Aracı Hesap Türü Seçiniz Katılma Hesabı Yatıracağınız Tutarı Giriniz 1.000 ₺ - [10.000.000 ₺] 1.000 ₺ 10.000.000 ₺ TL Vade Türü Seçiniz Gün Ay Vade Süresi Giriniz 31 Gün - 91 Gün 31 Gün 91 Gün Gün Gün *Kâr payı, h…;;;;v2
hayat-finans--hesaplar-katilma-hesabi;hayat-finans;vade_ay;12;0.85;rule_heuristic;;…işir. Hayat Finans Mobil İndir Katılma Hesabı Özellikleri Katılma Hesabı'nızı 7 günden başlayan vadelerle 3 ay, 6 ay ve [12 ay] vadeli olarak açabilirsiniz. Katılma Hesabı açılışında seçtiğiniz hesap türüne uygun olarak hesabınıza minimum 1.000 TL…;;;;v2
hayat-finans--kampanyalar-avantajli-hesap-musterilerine-ozel-fx-dar-makas-avantaji;hayat-finans;campaign_type;Yatırım Ürünü;0.60;classifier;;Avantajlı Hesap Müşterilerine Özel FX Dar Makas Avantajı! Kampanya dönemi içerisinde Avantajlı Hesap açan bireysel müşteriler, Hayat FX üzerinden gerçekleştirecekleri işlemlerde 5.000 USD veya karşılığı işlem hacmine kad …;;;;v2
hayat-finans--kampanyalar-avantajli-hesap-musterilerine-ozel-fx-dar-makas-avantaji;hayat-finans;kampanya_suresi;2026-08-17;0.72;rule_heuristic;;…şlemlerde 5.000 USD veya karşılığı işlem hacmine kadar %0,1 dar makastan yararlanabilir. 📢 Kampanya Dönemi: 17 Temmuz – [17 Ağustos 2026] ✅ Kampanya Koşulları Kampanyadan sadece 17 Temmuz 2026 sonrası yeni açılacak/açılan Avantajlı Hesap sahipleri faydalana…;;;;v2
hayat-finans--krediler;hayat-finans;campaign_type;Finansman;0.70;classifier;;Krediler Bana Bunu Al Avantajlı oranlar ve uygun ödeme planlarıyla hayatınızı kolaylaştırın. Bana Bunu Al İş Ortağım Anlaşmalı bayilerimiz aracılığıyla Bankamızdan kredi (finansman) desteği sağlamak çok hızlı ve kolay! E …;;;;v2
kuveyt-turk--altin-hesaplari-altina-altin-katilma-hesabi;kuveyt-turk;campaign_type;Yatırım Ürünü;0.80;classifier;;Ana Sayfa Kendim İçin Altın Bankacılığı Altın Hesapları Altına Altın Katılma Hesabı Altın Cari Hesabı Çeyrek Altın Hesabı Altına Altın Katılma Hesabı Ziynet Altın Katılma Hesabı Birikimli Altın Katılma Hesabı Altına Altı …;;;;v2
kuveyt-turk--altin-hesaplari-altina-altin-katilma-hesabi;kuveyt-turk;vade_ay;1;0.85;rule_heuristic;;…ırdığınız her gram altın, reel sektörde değerlendirilir. Bu süreçte elde edilen kâr, size yine altın olarak geri döner. [1 ay] vadeli Altına Altın Katılma Hesabı'nı, 100 gram altın ile açabilirsiniz. 3 ay ila 1 yıl arasında istediğiniz vade seçen…;;;;v2
